href,restaurantName,tags,address,schedule,latitude,longitude
https://www.ubereats.com/mx/store/cafe-kaloc-centro/WI0hsXLeQzux8zUvuB682A,Café KaLoc (Centro),"4.5 xStar (1,000+) • Café • Bollitos rellenos • Pescados y mariscos • $$$$ • Información","Dolores 7

,",Todos los días9:00 a.m. - 10:00 p.m.,19.4340737,-99.1430926
https://www.ubereats.com/mx/store/taqueria-zempoalt-mixe/o804pXu1T3GVKvEIo8v4kg,Taquería Zempoalt Mixe,"4.8 xStar (3,000+) • Mexicana • Latinoamericana • Mexicana • $ • Información","C. Obsidiana 98

,",Domingo3:00 p.m. - 11:55 p.m.LunesMartes - Sábado3:00 p.m. - 11:55 p.m.,19.476730838592115,-99.1152146235334
https://www.ubereats.com/mx/store/pazzesca/0UVljY1uQseimMjkgvqmPA,Pazzesca,4.6 xStar (65) • Italiana • Pizza • Pasta • Información,"Marsella 56

Cuauhtémoc, DF",Domingo12:30 p.m. - 7:30 p.m.Lunes1:00 p.m. - 9:30 p.m.Martes12:30 p.m. - 9:30 p.m.Miércoles - Viernes1:00 p.m. - 11:00 p.m.Sábado12:30 p.m. - 11:00 p.m.,19.42546,-99.15919
https://www.ubereats.com/mx/store/jimmys-subs-potrero/cUNjSosbVRWoj8hlVBBH3w,,,,,,
https://www.ubereats.com/mx/store/super-tortas-gigantes-el-dorado/4bWOfyC1W72fSBx_Rsmg_w,Súper Tortas Gigantes el Dorado,"4.5 xStar (2,000+) • Mexicana • Latinoamericana • Mexicana • $$ • Información","Ribera de San Cosme 52

Cuauhtémoc, LATAM",Domingo12:00 p.m. - 8:30 p.m.Lunes - Viernes11:30 a.m. - 9:30 p.m.Sábado12:00 p.m. - 9:00 p.m.,19.4408985,-99.158859
https://www.ubereats.com/mx/store/ricas-tortas-gigantes-claveria/6Fok-1BcRKul50bxkupzDQ,Ricas Tortas Gigantes Claveria,"4.6 xStar (1,500+) • Mexicana • Sándwich • Americana • Información","Poniente 58 251

Ciudad de México, DF",Todos los días12:00 a.m. - 11:59 p.m.,19.4647528,-99.1772039
https://www.ubereats.com/mx/store/la-parrilla-16-mexico-city/-ZfECndBRjWfQmzi0B4dDQ,LA PARRILLA 16 (Mexico City),4.9 xStar (190+) • Tacos • Mexicana • Latinoamericana • Información,"Calle 16 510

Azcapotzalco, DF",Todos los días2:00 p.m. - 12:30 a.m.,19.47379,-99.15259
https://www.ubereats.com/mx/store/piccolo-pizzas-tlatelolco/x5QSChMOR-qBEq6KrKbV1w,Piccolo Pizzas Tlatelolco,4.6 xStar (450+) • Italiana • Pasta • Pizza • $$ • Información,"Manuel González 302

, CDMX",Todos los días1:00 p.m. - 9:00 p.m.,19.4544625,-99.1435548
https://www.ubereats.com/mx/store/la-baguetteria-del-barrio-azcapotzalco/J7yY5O68TiW6s1lKNhPN6w,La baguetteria del barrio (Azcapotzalco),"4.6 xStar (1,500+) • Saludable • Vegetariana • Ensaladas • $$$ • Información","Nueces 181

Azcapotzalco, CDMX",Todos los días10:00 a.m. - 9:00 p.m.,19.4646329,-99.1699051
https://www.ubereats.com/mx/store/birria-arellano/2z9ZgYf9XRqs1TON_T6xXQ,Birria Arellano (Azcapotzalco),4.4 xStar (900+) • Mexicana • Latinoamericana • Mexicana • $ • Información,"Avenida Jardín 375

Azcapotzalco, Mexico City",Todos los días7:45 a.m. - 9:50 p.m.,19.4701608,-99.1591219
https://www.ubereats.com/mx/store/tortas-don-teo-el-calabozo/H0PHonwRTyGtfdfIwDeENQ,Tortas Don Teo El Calabozo, • Tacos • Mexicana • Comida rápida • Comida económica • Información,"Jardineros 119

Venustiano Carranza, DF",Domingo - Martes12:00 a.m. - 11:59 p.m.Miércoles12:00 a.m. - 6:00 a.m.Jueves2:00 p.m. - 12:00 a.m.Viernes - Sábado12:00 a.m. - 11:59 p.m.,19.44186,-99.11596
https://www.ubereats.com/mx/store/burgeris/SaeVOJf1TGaXBpnZXp3uxQ,Burgeri's,"4.8 xStar (5,000+) • Hamburguesas • Americana • Comida rápida • $$ • Información","Av. Rio Consulado 2560, San Juan de Aragón I Secc

Ciudad de México, Ciudad de México",Todos los días2:00 p.m. - 8:00 p.m. • Delivery2:00 p.m. - 9:30 p.m. • Delivery,19.4517729,-99.0928276
https://www.ubereats.com/mx/store/el-camioncito-moctezuma/-oHuJp7nSEaudAGAOGxakg,El Camioncito Moctezuma,"4.6 xStar (15,000+) • Mexicana • $ • Información","Av Emilio Carranza 58, Moctezuma 1ra Secc

Ciudad de México, CDMX",Todos los días12:00 a.m. - 11:59 p.m. • Menú7:00 a.m. - 2:00 p.m. • DESAYUNOS,19.4283994,-99.107196
https://www.ubereats.com/mx/store/kawaii-bowl-mexico-city/lmDqTWMqRyuU1-9Pgnxo2A,KAWAII BOWL (Mexico City),5.0 xStar (2) • Asiática fusión • Asiática • Coreana • Comida japonesa al estilo occidental • Japonesa • Platos de arroz • Comida reconfortante • Family Meals • Información,"Av Iztaccihuatl 113 Moctezuma Primera Sección

, DF",DomingoLunes - Sábado12:00 p.m. - 8:00 p.m.,19.4305662,-99.1055028
https://www.ubereats.com/mx/store/paleteria-yolanda-mexico-city/KJxd3JqkSsOVFer-YoQUew,Paletería Yolanda (Mexico City),5.0 xStar (2) • Comida reconfortante • Postres • Ice Cream • Información,"Calle Libertad 107

Cuauhtémoc, DF",Todos los días11:30 a.m. - 6:30 p.m.,19.44444,-99.13677
https://www.ubereats.com/mx/store/pozoleria-y-birrieria-arandas-pozoleria-y-birrieria-arandas/jHFD3rD1X2uRBWFa3GuCJw,POZOLERIA Y BIRRIERIA ARANDAS (POZOLERIA Y BIRRIERIA ARANDAS),4.6 xStar (360+) • Mexicana • Latinoamericana • Mexicana • Información,"C. Nte. 33 50, Moctezuma 2da Secc, Venustiano Carranza

Ciudad de México, LATAM",Domingo10:00 a.m. - 6:00 p.m.LunesMartes - Sábado10:00 a.m. - 9:00 p.m.,19.4360678,-99.0944674
https://www.ubereats.com/mx/store/asadero-adictos-a-la-arrachera/iZL2UWKKThm0HDhpsnqkVg,Asadero Adictos a la Arrachera,"4.5 xStar (1,000+) • Mexicana • Tacos • Tacos • $ • Información","Calle Damasco 120, Romero Rubio Ciudad de México, CDMX, Mexico

Mexico City,",Domingo2:00 p.m. - 10:00 p.m. • Menú2:00 p.m. - 10:00 p.m. • MenúLunes - MartesMiércoles - Sábado2:00 p.m. - 10:00 p.m. • Menú,19.4457256,-99.0970947
